timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1616350300030,2767,HomePage,200,,Thread Group 1-1,text,true,,7568,963,1,1,https://petstore.octoperf.com/,2492,0,2269
1616350300030,2497,HomePage-0,200,,Thread Group 1-1,text,true,,1487,473,1,1,https://petstore.octoperf.com/,2492,0,2269
1616350302570,227,HomePage-1,200,,Thread Group 1-1,text,true,,6081,490,1,1,https://petstore.octoperf.com/css/jpetstore.css,226,0,0
1616350303121,1967,Enter the Store,200,,Thread Group 1-1,text,true,,53975,8765,1,1,https://petstore.octoperf.com/actions/Catalog.action,234,0,0
1616350303121,235,Enter the Store-0,200,,Thread Group 1-1,text,true,,5464,495,1,1,https://petstore.octoperf.com/actions/Catalog.action,234,0,0
1616350303386,236,Enter the Store-1,304,,Thread Group 1-1,,true,,194,632,1,1,https://petstore.octoperf.com/css/jpetstore.css,0,0,0
1616350303386,884,Enter the Store-2,200,,Thread Group 1-1,bin,true,,4117,548,1,1,https://petstore.octoperf.com/images/logo-topbar.gif,883,0,684
1616350303387,999,Enter the Store-3,200,,Thread Group 1-1,bin,true,,401,541,1,1,https://petstore.octoperf.com/images/cart.gif,999,0,707
1616350303387,945,Enter the Store-4,200,,Thread Group 1-1,bin,true,,351,546,1,1,https://petstore.octoperf.com/images/separator.gif,945,0,704
1616350303387,940,Enter the Store-5,200,,Thread Group 1-1,bin,true,,578,544,1,1,https://petstore.octoperf.com/images/sm_fish.gif,940,0,697
1616350303388,932,Enter the Store-6,200,,Thread Group 1-1,bin,true,,613,544,1,1,https://petstore.octoperf.com/images/sm_dogs.gif,932,0,696
1616350303622,250,Enter the Store-7,200,,Thread Group 1-1,bin,true,,705,548,1,1,https://petstore.octoperf.com/images/sm_reptiles.gif,250,0,0
1616350303872,228,Enter the Store-8,200,,Thread Group 1-1,bin,true,,596,544,1,1,https://petstore.octoperf.com/images/sm_cats.gif,228,0,0
1616350304101,296,Enter the Store-9,200,,Thread Group 1-1,bin,true,,558,545,1,1,https://petstore.octoperf.com/images/sm_birds.gif,296,0,0
1616350304271,271,Enter the Store-10,200,,Thread Group 1-1,bin,true,,746,546,1,1,https://petstore.octoperf.com/images/fish_icon.gif,270,0,0
1616350304321,273,Enter the Store-11,200,,Thread Group 1-1,bin,true,,775,546,1,1,https://petstore.octoperf.com/images/dogs_icon.gif,273,0,0
1616350304327,273,Enter the Store-12,200,,Thread Group 1-1,bin,true,,715,546,1,1,https://petstore.octoperf.com/images/cats_icon.gif,273,0,0
1616350304332,287,Enter the Store-13,200,,Thread Group 1-1,bin,true,,976,550,1,1,https://petstore.octoperf.com/images/reptiles_icon.gif,287,0,0
1616350304387,701,Enter the Store-14,200,,Thread Group 1-1,bin,true,,778,547,1,1,https://petstore.octoperf.com/images/birds_icon.gif,701,0,0
1616350304397,440,Enter the Store-15,200,,Thread Group 1-1,bin,true,,36408,543,1,1,https://petstore.octoperf.com/images/splash.gif,243,0,0
1616350305268,542,Click on Cats,200,,Thread Group 1-1,text,true,,5198,6273,1,1,https://petstore.octoperf.com/actions/Catalog.action?viewCategory=&categoryId=CATS,180,0,0
1616350305268,180,Click on Cats-0,200,,Thread Group 1-1,text,true,,3461,578,1,1,https://petstore.octoperf.com/actions/Catalog.action?viewCategory=&categoryId=CATS,180,0,0
1616350305455,167,Click on Cats-1,304,,Thread Group 1-1,,true,,194,632,1,1,https://petstore.octoperf.com/css/jpetstore.css,0,0,0
1616350305456,172,Click on Cats-2,304,,Thread Group 1-1,,true,,194,637,1,1,https://petstore.octoperf.com/images/logo-topbar.gif,0,0,0
1616350305457,171,Click on Cats-3,304,,Thread Group 1-1,,true,,192,628,1,1,https://petstore.octoperf.com/images/cart.gif,0,0,0
